,MSA_code,name,pop,birth_death_rate,65plus,education,poverty
267,37860,"Pensacola-Ferry Pass-Brent, FL  ",502629.0,0.01094544883005159,0.13895347801297128,0.2725,0.121
268,37900,"Peoria, IL  ",400561.0,0.011339096916574504,0.15177679120541204,0.23383333333333334,0.11366666666666665
269,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  ",6102434.0,0.010286141562530623,0.13284799669558034,0.3533636363636364,0.09927272727272728
270,38060,"Phoenix-Mesa-Chandler, AZ  ",4948203.0,0.009462323999237703,0.12275834699138159,0.255,0.126
271,38220,"Pine Bluff, AR  ",87804.0,0.011525670812263678,0.13394308740362462,0.14300000000000002,0.21733333333333335
272,38300,"Pittsburgh, PA  ",2317600.0,0.010777744218156714,0.17276425697050357,0.2717142857142857,0.10514285714285712
273,38340,"Pittsfield, MA  ",124944.0,0.009816397746190293,0.18584057308337143,0.33399999999999996,0.113
274,38540,"Pocatello, ID  ",95489.0,0.010760401721664276,0.11240168988605402,0.21550000000000002,0.1375
275,38860,"Portland-South Portland, ME  ",538500.0,0.009310120705663881,0.14841110369792587,0.3786666666666667,0.08633333333333333
276,38900,"Portland-Vancouver-Hillsboro, OR-WA  ",2818156.0,0.009058050725367936,0.11330497167577863,0.31842857142857145,0.10142857142857142
277,38940,"Port St. Lucie, FL  ",489297.0,0.010082833125892861,0.2248248087751233,0.2665,0.11399999999999999
278,39100,"Poughkeepsie-Newburgh-Middletown, NY  ",679158.0,0.009773867053027425,0.12127220267879255,0.325,0.10350000000000001
279,39150,"Prescott Valley-Prescott, AZ  ",235099.0,0.010259507696757536,0.24056313200716473,0.252,0.132
280,39300,"Providence-Warwick, RI-MA  ",1624578.0,0.009655122745722274,0.14352348404256982,0.3803333333333334,0.09749999999999999
281,39340,"Provo-Orem, UT  ",648252.0,0.01125333975059082,0.0654883819813937,0.28600000000000003,0.0895
282,39380,"Pueblo, CO  ",168424.0,0.010811998290029923,0.15305788864859426,0.22,0.172
283,39460,"Punta Gorda, FL  ",188910.0,0.010290614578370653,0.34128854412141596,0.23199999999999998,0.111
284,39540,"Racine, WI  ",17252.0,0.0101727335961048,0.13171860047387787,0.247,0.126
285,39580,"Raleigh-Cary, NC  ",1390785.0,0.008700122592636533,0.08977161251173163,0.31633333333333336,0.10933333333333334
286,39660,"Rapid City, SD  ",42509.0,0.01082123785551295,0.13178196434647066,0.2895,0.10850000000000001
287,39740,"Reading, PA  ",421164.0,0.010201489206104985,0.14475395133712324,0.245,0.114
288,39820,"Redding, CA  ",180080.0,0.011866948023100843,0.16909109375705322,0.222,0.152
289,39900,"Reno, NV  ",475642.0,0.009800438144655014,0.12133243069169616,0.296,0.09
290,40060,"Richmond, VA  ",1022465.0,0.009771972634760115,0.11761082454105949,0.2824166666666667,0.09107142857142858
291,40140,"Riverside-San Bernardino-Ontario, CA  ",4650631.0,0.009911988287180814,0.1041300381646505,0.21050000000000002,0.138
292,40220,"Roanoke, VA  ",119893.0,0.010246636584287656,0.1567587323134757,0.22874999999999998,0.10959999999999999
293,40340,"Rochester, MN  ",221921.0,0.010102694201990798,0.13672309283732442,0.27849999999999997,0.07625
294,40380,"Rochester, NY  ",1069644.0,0.009698086466151355,0.14166154165339104,0.267,0.11716666666666668
295,40420,"Rockford, IL  ",336116.0,0.010939675588189791,0.13473007623800912,0.22899999999999998,0.1265
296,40580,"Rocky Mount, NC  ",145770.0,0.011404953008163545,0.14106290971370075,0.16799999999999998,0.1855
297,40660,"Rome, GA  ",98498.0,0.011538305346301448,0.1422579372495276,0.204,0.207
298,40900,"Sacramento-Roseville-Folsom, CA  ",2363730.0,0.009663751782140939,0.12023853395423632,0.36075,0.12400000000000001
299,40980,"Saginaw, MI  ",190539.0,0.011352006675798656,0.1528750562022281,0.21100000000000002,0.17
300,41060,"St. Cloud, MN  ",201964.0,0.009781446198332376,0.12050091488889124,0.252,0.11299999999999999
301,41100,"St. George, UT  ",177556.0,0.010171438869990314,0.17250716788786238,0.27699999999999997,0.09699999999999999
302,41140,"St. Joseph, MO-KS  ",125223.0,0.010637023549986822,0.1432419696850703,0.19775,0.13275
303,41180,"St. Louis, MO-IL  ",2803228.0,0.010586901957314925,0.13334603196467915,0.24946666666666667,0.11046666666666667
304,41420,"Salem, OR  ",433903.0,0.010202741165652231,0.1323159449146361,0.2645,0.136
305,41500,"Salinas, CA  ",434061.0,0.00983617509981316,0.10702600600398017,0.245,0.133
306,41540,"Salisbury, MD-DE  ",415726.0,0.010787153076786153,0.1860364951592149,0.2485,0.15175
307,41620,"Salt Lake City, UT  ",1232696.0,0.009998004374152264,0.08617358260239696,0.2875,0.079
308,41660,"San Angelo, TX  ",122027.0,0.010755816335728977,0.13935928191418734,0.18999999999999997,0.12066666666666666
309,41700,"San Antonio-New Braunfels, TX  ",2550960.0,0.010024265374604071,0.10971529174439874,0.26087499999999997,0.11575
310,41740,"San Diego-Chula Vista-Carlsbad, CA  ",3338330.0,0.0095339585960645,0.11353452347645505,0.381,0.115
311,41860,"San Francisco-Oakland-Berkeley, CA  ",4731803.0,0.008781642008342274,0.1260508853639994,0.507,0.08059999999999999
312,41940,"San Jose-Sunnyvale-Santa Clara, CA  ",1990660.0,0.008557212180884732,0.11013265741635964,0.355,0.07949999999999999
313,42020,"San Luis Obispo-Paso Robles, CA  ",283111.0,0.008747452412657931,0.15213731002306796,0.34600000000000003,0.127
314,42100,"Santa Cruz-Watsonville, CA  ",273213.0,0.008098077324285448,0.11112762640872313,0.4,0.122
315,42140,"Santa Fe, NM  ",150358.0,0.007914444193192247,0.15123707264290323,0.409,0.122
